TimeStep,"Blacktip Shark|Blacktip shark","Dusky Shark|Dusky shark","Sandbar Shark|Sandbar shark","Large Coastal Sharks|Large coastal sharks","Large Oceanic Sharks|Large oceanic sharks","Atlantic Sharpnose Shark|Atlantic sharpnose shark","Small Coastal Sharks|Small coastal sharks","Yellowfin Tuna|Yellowfin tuna","Bluefin Tuna|Bluefin tuna","Other Tunas|Other tunas",Billfish|Billfish,Swordfish|Swordfish,"Pelagic Coastal Piscivores|Pelagic coastal piscivores",Amberjack|Amberjack,Cobia|Cobia,"King Mackerel (1+)|King mackerel (1+yr)","Spanish Mackerel (0-1)|Spanish mackerel (0-1yr)","Spanish Mackerel (1+)|Spanish mackerel (1+yr)",Skates-rays|Skates-rays,"Gag grouper (0-3yr)|Gag grouper (0-3yr)","Gag grouper (3+yr)|Gag grouper (3+yr)","Red grouper (3+yr)|Red grouper (3+yr)","Yellowedge grouper (0-3yr)|Yellowedge grouper (0-3yr)","Yellowedge grouper (3+yr)|Yellowedge grouper (3+yr)","Goliath grouper|Goliath grouper","Deep-water grouper|Deep-water grouper","Shallow-water grouper|Shallow-water grouper","Red snapper (0yr)|Red snapper (0yr)","Red snapper (1-2yr)|Red snapper (1-2yr)","Red snapper (3+yr)|Red snapper (3+yr)","Vermilion snapper|Vermilion snapper","Mutton snapper|Mutton snapper","Other snapper|Other snapper","Inshore coastal piscivores|Inshore coastal piscivores","Sea trout|Sea trout","Oceanic piscivores|Oceanic piscivores","Benthic piscivores|Benthic piscivores","Reef piscivores|Reef piscivores","Reef invertebrate feeders|Reef invertebrate feeders","Demersal coastal invertebrate feeders|Demersal coastal invertebrate feeders","Red drum|Red drum","Benthic coastal invertebrate feeders|Benthic coastal invertebrate feeders",Tilefish|Tilefish,"Gray triggerfish|Gray triggerfish","Coastal omnivores|Coastal omnivores","Reef omnivores|Reef omnivores","Surface pelagics|Surface pelagics",Sardine-herring-scad|Sardine-herring-scad,"Menhaden (0yr)|Menhaden (0yr)","Menhaden (1yr)|Menhaden (1yr)","Menhaden (2yr)|Menhaden (2yr)","Menhaden (3yr)|Menhaden (3yr)","Menhaden (4yr)|Menhaden (4yr)",Anchovy-silverside-killifish|Anchovy-silverside-killifish,Mullet|Mullet,Butterfish|Butterfish,Cephalopod|Cephalopod,"Pink shrimp|Pink shrimp","Brown shrimp|Brown shrimp","White shrimp|White shrimp",Crab|Crab,"Sessile epifauna|Sessile epifauna","Mobile epifauna|Mobile epifauna",Zooplankton|Zooplankton
145,0.0003720982,0.0004862063,0.0001361192,0.0005253375,1.082319E-05,0.0002922544,8.755056E-05,0.006517645,0.0001040215,0.01215043,0.001298756,0.007284787,0.004126659,0.003614782,0.001364342,0.0008166347,1.22687E-06,9.649579E-05,6.351222E-05,0.0001933743,0.001485971,0.001433382,1.766002E-09,0.0002780741,8.435657E-06,0.0004977614,0.001686256,1.185238E-09,9.716638E-05,0.003568364,0.003041153,0.001187126,0.002938643,0.005408825,0.01526929,0.0005768624,0.002161844,0.000485168,0.006001185,0.01268153,0.002478621,0.009748697,0.0001829355,0.001586181,0.01016807,0.0001227244,0.000451752,0.0005531755,1.70118E-05,0.01381876,0.02548009,0.00144437,0.0003141972,2.990712E-07,0.0181918,0.002532441,0.0005158969,0.01047685,0.09266502,0.082469,0.1118782,0.02649358,0.03132957,0.00272747
146,0.0003728346,0.0004841189,0.0001364641,0.0005256237,1.082362E-05,0.0002953515,8.754349E-05,0.006523792,0.0001058602,0.01223158,0.001310008,0.007301279,0.004364938,0.00357853,0.001351205,0.0009262956,1.008979E-06,8.921635E-05,6.37401E-05,0.0001875267,0.00147895,0.001410499,1.734892E-09,0.0002774409,8.954001E-06,0.0004964637,0.001645995,1.025338E-09,9.698405E-05,0.003554199,0.002969219,0.001167292,0.002886854,0.005657436,0.01576942,0.0005845153,0.002160341,0.000476805,0.006108155,0.01279793,0.002576142,0.009958272,0.0001835249,0.001581887,0.00994724,0.0001199924,0.0004497541,0.0005963099,1.587695E-05,0.01381165,0.02996836,0.002157142,0.0003584609,3.222944E-07,0.01856257,0.002553658,0.0005172021,0.009432223,0.09473835,0.08398308,0.1081456,0.02751622,0.03143538,0.00261033
147,0.000371994,0.0004827802,0.0001365342,0.0005260043,1.082327E-05,0.0002967013,8.760491E-05,0.006532457,0.0001076004,0.01232103,0.001322657,0.007317358,0.004580196,0.003549698,0.001332358,0.001106284,7.869272E-07,7.921451E-05,6.382993E-05,0.000181953,0.0014668,0.001374958,1.684033E-09,0.0002754231,9.356098E-06,0.0004945707,0.001594215,8.531986E-10,9.478823E-05,0.003534755,0.002894887,0.001134879,0.002807264,0.005909583,0.01626118,0.0005920148,0.002165251,0.0004643531,0.006094792,0.01289456,0.002674239,0.01017552,0.0001840929,0.001577245,0.00965944,0.000115791,0.0004462759,0.000638165,1.542244E-05,0.01378661,0.02914751,0.003049639,0.0004356682,3.465346E-07,0.01891479,0.0025772,0.0005147193,0.008246439,0.09623837,0.08468398,0.1043131,0.02823798,0.03123187,0.002499897
148,0.0003711585,0.0004817331,0.0001363125,0.0005263143,1.082236E-05,0.0002946261,8.762282E-05,0.00654337,0.0001093308,0.01242083,0.001335704,0.00733463,0.004659979,0.00352195,0.001326744,0.001066223,5.903501E-07,7.038756E-05,6.367585E-05,0.0001796765,0.00145968,0.001353897,1.646662E-09,0.000273356,9.923895E-06,0.0004927177,0.001557748,8.308355E-10,9.661919E-05,0.00353024,0.002821726,0.001102235,0.002729068,0.006126557,0.01670226,0.0005993621,0.002166556,0.0004528289,0.00615823,0.01305003,0.002760081,0.01037253,0.0001845752,0.001571411,0.009525145,0.0001115608,0.000445606,0.0006717686,1.457666E-05,0.01154679,0.02558986,0.003243474,0.000406586,3.71268E-07,0.01938943,0.002598381,0.0005057057,0.007331228,0.09723494,0.0845613,0.1020314,0.02865539,0.0308871,0.002416675
149,0.0003724771,0.0004814224,0.000136253,0.0005265096,1.082115E-05,0.0002935264,8.756919E-05,0.006557168,0.000111058,0.01253276,0.001349426,0.007352644,0.004755815,0.003498421,0.001334111,0.0008510139,4.398206E-07,6.280734E-05,6.384856E-05,0.0001789433,0.001461366,0.00136427,1.646133E-09,0.0002717727,1.074419E-05,0.0004911381,0.001552964,1.071038E-09,0.0001042737,0.003534871,0.002752859,0.00107652,0.002678893,0.00629242,0.01710513,0.000606616,0.002164667,0.0004514364,0.00637747,0.01322189,0.002829924,0.01054006,0.0001850304,0.001564938,0.009539534,0.0001083683,0.0004463763,0.0007015896,1.237232E-05,0.007112646,0.01979171,0.002837006,0.0002755822,3.95504E-07,0.01990394,0.002617719,0.0004938518,0.006946205,0.09804484,0.08428128,0.1000957,0.02907429,0.03051926,0.002386474
150,0.0003754117,0.0004824497,0.0001365428,0.0005266636,1.082E-05,0.0002948617,8.750355E-05,0.006579377,0.0001129794,0.01268164,0.001363229,0.007379104,0.004902668,0.003479893,0.001343957,0.0006427639,3.29338E-07,5.724827E-05,6.427374E-05,0.0001801454,0.001466776,0.00138117,1.668886E-09,0.0002704164,1.168337E-05,0.000489953,0.001569735,1.257418E-09,0.0001102018,0.003541486,0.002691037,0.001059086,0.002669792,0.006343069,0.01738274,0.0006128805,0.002162862,0.000456859,0.006636612,0.01339148,0.002853303,0.01066457,0.000185527,0.001558947,0.009597789,0.0001074615,0.0004469312,0.0007281073,8.827646E-06,0.005086107,0.01657051,0.002595648,0.0002129398,4.17926E-07,0.02043372,0.002634144,0.0004839448,0.006977224,0.09943218,0.08468934,0.09829898,0.02921759,0.03030461,0.002418383
151,0.0003779606,0.00048361,0.0001363938,0.0005269644,1.082091E-05,0.0002968924,8.753843E-05,0.006620375,0.000114706,0.01285567,0.001376192,0.007413654,0.004784771,0.003501325,0.001353116,0.0006133137,2.558119E-07,5.711772E-05,6.468616E-05,0.0001844337,0.001484444,0.00140677,1.708016E-09,0.0002700992,1.26906E-05,0.0004895736,0.001596227,1.288352E-09,0.0001127598,0.00356149,0.002639474,0.00105061,0.002694599,0.006080942,0.0170193,0.0006046566,0.002166978,0.0004642367,0.006618194,0.01341453,0.002760464,0.01063624,0.0001862244,0.001554548,0.009680894,0.0001086007,0.0004498002,0.0006890881,5.136902E-06,0.003467932,0.01326388,0.002296806,0.0001645339,3.944E-07,0.01980392,0.00263648,0.0004815448,0.007357508,0.1021618,0.08573366,0.09779005,0.02829797,0.03053124,0.002515806
152,0.0003776725,0.0004825225,0.0001352134,0.0005274703,1.082308E-05,0.0002968979,8.763598E-05,0.006668461,0.0001153971,0.0130079,0.001385361,0.007425753,0.004297844,0.003535556,0.001353955,0.0006039973,1.810234E-07,4.659775E-05,6.560106E-05,0.0001884067,0.001500435,0.001426439,1.735416E-09,0.0002688292,1.369163E-05,0.000489852,0.001624052,1.228867E-09,0.0001121624,0.003569479,0.002596132,0.001047996,0.002737381,0.005720277,0.01635055,0.0005935525,0.002177493,0.0004689874,0.006284607,0.01332995,0.002618779,0.0104902,0.0001871092,0.00155109,0.009745828,0.0001109849,0.0004499924,0.0006180971,4.368466E-06,0.002086507,0.009054697,0.00177433,0.0001150931,3.528397E-07,0.01873964,0.002596423,0.0004855037,0.007965786,0.1054248,0.08650839,0.09784316,0.02699959,0.03095357,0.002645421
153,0.0003759459,0.000478311,0.0001333846,0.0005281112,1.082684E-05,0.0002952378,8.77734E-05,0.006712073,0.0001151387,0.01311649,0.00138959,0.007396549,0.003911522,0.003565357,0.001349539,0.0005420681,1.299258E-07,3.040289E-05,6.702836E-05,0.0001926534,0.001512581,0.001436843,1.753177E-09,0.0002669852,1.460306E-05,0.0004907106,0.001647526,1.103826E-09,0.0001074528,0.003555035,0.002559452,0.001049107,0.002789714,0.00534834,0.01549199,0.0005829292,0.002194599,0.0004709707,0.005872631,0.0131049,0.00246562,0.01021523,0.0001881132,0.001547193,0.00979339,0.0001141596,0.0004470139,0.0005596195,5.149809E-06,0.001572161,0.006835855,0.001500826,8.662127E-05,3.09979E-07,0.01755805,0.00252713,0.0004958501,0.008760734,0.1082665,0.08615418,0.09799977,0.02560423,0.03111604,0.002772529
154,0.0003747925,0.0004725379,0.0001316475,0.0005285573,1.08316E-05,0.0002947909,8.785975E-05,0.006743926,0.0001155885,0.01319212,0.001394215,0.007375468,0.003681158,0.003578801,0.001353198,0.0005087277,1.478337E-07,2.532748E-05,6.664308E-05,0.0001967238,0.001519378,0.001434646,1.761784E-09,0.0002663696,1.513965E-05,0.0004925207,0.001655485,8.949516E-10,9.746533E-05,0.003482745,0.002528346,0.001053008,0.002845593,0.004991066,0.01453986,0.0005724325,0.002211018,0.0004754568,0.005520618,0.01269349,0.002331374,0.009811163,0.0001891078,0.001543574,0.009922492,0.0001175441,0.0004479679,0.0005028661,7.895857E-06,0.001649747,0.006690277,0.001490182,7.870963E-05,2.679075E-07,0.01644469,0.002480459,0.0005101233,0.009753935,0.1114044,0.08145679,0.09935783,0.02415471,0.03050583,0.002866574
