TimeStep,"Blacktip Shark|Blacktip shark","Dusky Shark|Dusky shark","Sandbar Shark|Sandbar shark","Large Coastal Sharks|Large coastal sharks","Large Oceanic Sharks|Large oceanic sharks","Atlantic Sharpnose Shark|Atlantic sharpnose shark","Small Coastal Sharks|Small coastal sharks","Yellowfin Tuna|Yellowfin tuna","Bluefin Tuna|Bluefin tuna","Other Tunas|Other tunas",Billfish|Billfish,Swordfish|Swordfish,"Pelagic Coastal Piscivores|Pelagic coastal piscivores",Amberjack|Amberjack,Cobia|Cobia,"King Mackerel (0-1)|King mackerel (0-1yr)","King Mackerel (1+)|King mackerel (1+yr)","Spanish Mackerel (0-1)|Spanish mackerel (0-1yr)","Spanish Mackerel (1+)|Spanish mackerel (1+yr)",Skates-rays|Skates-rays,"Gag grouper (0-3yr)|Gag grouper (0-3yr)","Gag grouper (3+yr)|Gag grouper (3+yr)","Red grouper (0-3yr)|Red grouper (0-3yr)","Red grouper (3+yr)|Red grouper (3+yr)","Yellowedge grouper (0-3yr)|Yellowedge grouper (0-3yr)","Yellowedge grouper (3+yr)|Yellowedge grouper (3+yr)","Goliath grouper|Goliath grouper","Deep-water grouper|Deep-water grouper","Shallow-water grouper|Shallow-water grouper","Red snapper (0yr)|Red snapper (0yr)","Red snapper (1-2yr)|Red snapper (1-2yr)","Red snapper (3+yr)|Red snapper (3+yr)","Vermilion snapper|Vermilion snapper","Mutton snapper|Mutton snapper","Other snapper|Other snapper","Inshore coastal piscivores|Inshore coastal piscivores","Sea trout|Sea trout","Oceanic piscivores|Oceanic piscivores","Benthic piscivores|Benthic piscivores","Reef piscivores|Reef piscivores","Reef invertebrate feeders|Reef invertebrate feeders","Demersal coastal invertebrate feeders|Demersal coastal invertebrate feeders","Red drum|Red drum","Benthic coastal invertebrate feeders|Benthic coastal invertebrate feeders",Tilefish|Tilefish,"Gray triggerfish|Gray triggerfish","Coastal omnivores|Coastal omnivores","Reef omnivores|Reef omnivores","Surface pelagics|Surface pelagics",Sardine-herring-scad|Sardine-herring-scad,"Menhaden (0yr)|Menhaden (0yr)","Menhaden (1yr)|Menhaden (1yr)","Menhaden (2yr)|Menhaden (2yr)","Menhaden (3yr)|Menhaden (3yr)","Menhaden (4yr)|Menhaden (4yr)",Anchovy-silverside-killifish|Anchovy-silverside-killifish,Mullet|Mullet,Butterfish|Butterfish,Cephalopod|Cephalopod,"Pink shrimp|Pink shrimp","Brown shrimp|Brown shrimp","White shrimp|White shrimp",Crab|Crab,"Sessile epifauna|Sessile epifauna","Mobile epifauna|Mobile epifauna",Zooplankton|Zooplankton
152,0.0006200447,0.0004927389,0.0002410201,0.001075484,1.082308E-05,0.003278792,0.000255187,0.006760564,0.0002004647,0.01310233,0.001456979,0.007456693,0.004588938,0.003618125,0.001810362,0,0.0006054082,2.184285E-06,9.384681E-05,8.252363E-05,0.0002044073,0.001502428,0,0.001521009,1.735416E-09,0.0002688292,1.369174E-05,0.000489852,0.001780709,0.0002102692,0.0001218478,0.003569479,0.01181456,0.001056764,0.002836636,0.00583412,0.01813173,0.0005936953,0.002474383,0.0004763855,0.007018277,0.01763993,0.002674226,0.0184152,0.0001957063,0.00728412,0.01055125,0.0001204006,0.0004499924,0.0006187879,4.368466E-06,0.002086507,0.009054697,0.00177433,0.0001160839,3.528397E-07,0.01874586,0.003772423,0.0004855037,0.007965786,0.1054248,0.08650839,0.09784316,0.02699959,0.03095357,0.002645421
153,0.0006172098,0.0004884382,0.0002377601,0.00107679,1.082684E-05,0.003260459,0.000255587,0.006804777,0.0002000158,0.01321171,0.001461427,0.007427367,0.004176449,0.003648621,0.001804457,0,0.0005433344,1.567725E-06,6.123072E-05,8.431913E-05,0.0002090146,0.00151459,0,0.001532103,1.753177E-09,0.0002669852,1.460318E-05,0.0004907106,0.001806447,0.0001888738,0.0001167315,0.003555035,0.01164763,0.001057884,0.002890866,0.005454782,0.01717963,0.0005830695,0.00249382,0.0004784,0.006558206,0.01734212,0.002517824,0.01793249,0.0001967565,0.007265819,0.01060274,0.0001238447,0.0004470139,0.0005602452,5.149809E-06,0.001572161,0.006835855,0.001500826,8.7367E-05,3.09979E-07,0.01756387,0.003671742,0.0004958501,0.008760734,0.1082665,0.08615418,0.09799977,0.02560423,0.03111604,0.002772529
154,0.0006153166,0.0004825428,0.0002346635,0.0010777,1.08316E-05,0.003255523,0.0002558385,0.006837071,0.000200797,0.01328789,0.001466291,0.007406198,0.003930483,0.00366238,0.00180935,0,0.000509916,1.783808E-06,5.100898E-05,8.383445E-05,0.0002134307,0.001521396,0,0.001529761,1.761784E-09,0.0002663696,1.513977E-05,0.0004925207,0.001815175,0.0001531335,0.0001058816,0.003482745,0.01150608,0.001061818,0.002948772,0.005090396,0.01612379,0.0005725702,0.002512478,0.0004829569,0.0061651,0.01679769,0.002380735,0.01722317,0.0001977969,0.007248822,0.01074251,0.0001275164,0.0004479679,0.0005034284,7.895857E-06,0.001649747,0.006690277,0.001490182,7.938725E-05,2.679075E-07,0.01645015,0.003603933,0.0005101233,0.009753935,0.1114044,0.08145679,0.09935783,0.02415471,0.03050583,0.002866574
155,0.0006134082,0.0004777132,0.0002325086,0.001078265,1.083693E-05,0.003261201,0.0002558335,0.006862432,0.0002036306,0.01336167,0.001473681,0.007410279,0.004011114,0.003641169,0.001817623,0,0.0005105559,4.226902E-06,4.748841E-05,8.229608E-05,0.000215433,0.001524396,0,0.00154035,1.752736E-09,0.0002663435,1.575405E-05,0.0004950766,0.001833845,0.0001605815,9.502812E-05,0.003435133,0.01134428,0.001066201,0.003002799,0.005090219,0.0159685,0.0005679299,0.002511917,0.0004903242,0.006181267,0.01644816,0.002371328,0.0168263,0.0001987607,0.007244419,0.01090393,0.0001307626,0.0004521163,0.0004924799,1.35064E-05,0.002513877,0.008150583,0.001913561,9.36109E-05,2.609119E-07,0.0167062,0.003610594,0.0005160816,0.01076,0.1147164,0.07861792,0.1006884,0.02427784,0.03060868,0.002897469
156,0.0005724735,0.000515913,0.0002062232,0.00107862,1.442993E-05,0.002843223,0.0002554978,0.006876335,0.0002074503,0.01343624,0.001483041,0.007423924,0.004192768,0.004083788,0.001887192,0,0.0004897168,7.003915E-06,6.619155E-05,8.12513E-05,0.0002134274,0.002032063,0,0.00165964,1.756868E-09,0.0002038099,2.026065E-05,0.0004974184,0.001857472,0.000205511,0.0001672953,0.003980052,0.01144745,0.0008522596,0.003047541,0.00526858,0.0163518,0.0005720834,0.002497297,0.0004977786,0.00642699,0.01656863,0.002427528,0.01690239,0.000268272,0.00747898,0.01103203,0.0001330068,0.0004549067,0.0005203591,2.297146E-05,0.004247018,0.01131467,0.002760897,0.0001331243,2.767042E-07,0.01745273,0.00364269,0.000517317,0.01780531,0.1353385,0.06738012,0.1013168,0.02533804,0.03102188,0.002856111
157,0.0005740117,0.0005122334,0.0002059627,0.001078993,1.443277E-05,0.00289057,0.0002550989,0.006883869,0.000211355,0.01351465,0.001494321,0.007440546,0.004411122,0.004014639,0.001891012,0,0.000545576,9.558022E-06,9.577163E-05,8.079348E-05,0.0002100914,0.002009255,0,0.001656838,1.748617E-09,0.0002051542,2.121092E-05,0.0004979545,0.001853351,0.0002095139,0.0001789527,0.003963684,0.01125431,0.0008559787,0.003051456,0.005515567,0.01691497,0.000579118,0.002483496,0.0004984461,0.006712912,0.01681406,0.002510796,0.01719148,0.0002678445,0.007456329,0.01103024,0.0001333177,0.0004565875,0.0005613846,3.411773E-05,0.006664354,0.01461335,0.003852753,0.0002129565,3.006292E-07,0.01818118,0.003679396,0.0005183353,0.01693757,0.1329528,0.06914867,0.1006136,0.02649716,0.03141294,0.002759704
158,0.0005772127,0.0005112648,0.0002080158,0.001079533,1.44343E-05,0.002944596,0.0002548341,0.006894613,0.0002151893,0.01362491,0.001508872,0.007460075,0.004637422,0.003934367,0.001883633,0,0.0006319571,1.098264E-05,0.0001243566,8.097177E-05,0.0002082311,0.001981068,0,0.001642622,1.733168E-09,0.0002063221,2.187598E-05,0.0004966009,0.001824281,0.0002039256,0.0001865791,0.003947671,0.01104699,0.0008535595,0.003021605,0.005708271,0.01752516,0.0005867509,0.002469245,0.0004925768,0.006913646,0.01709551,0.002579133,0.01756669,0.0002668099,0.007428171,0.01089275,0.0001319444,0.0004559994,0.0006042842,4.368447E-05,0.008272149,0.01463371,0.004544069,0.0003128443,3.260589E-07,0.01887188,0.003712786,0.0005187768,0.01544163,0.1290511,0.07086726,0.09973377,0.02741405,0.0314667,0.002631919
159,0.0005792865,0.0005111223,0.0002099142,0.0010803,1.443484E-05,0.002974176,0.0002548158,0.00690406,0.0002187915,0.01372662,0.001525061,0.007476158,0.004856674,0.00386926,0.001866143,0,0.0007267894,1.071392E-05,0.0001426045,8.155044E-05,0.0002030473,0.001946514,0,0.001610829,1.699478E-09,0.0002063414,2.227449E-05,0.0004946577,0.001782429,0.0001826481,0.0001876057,0.003925724,0.01085112,0.0008437618,0.002972264,0.005901163,0.01810813,0.0005942463,0.002465426,0.0004802367,0.006919197,0.01730977,0.002658562,0.01798064,0.0002657638,0.00739641,0.01062264,0.0001296442,0.0004527275,0.000644883,4.721785E-05,0.010246,0.01420824,0.005166948,0.0004298645,3.506363E-07,0.01931801,0.003748696,0.0005173048,0.01404685,0.1248211,0.07196805,0.09786695,0.02804628,0.03124798,0.002524737
160,0.0005802989,0.0005102639,0.0002097953,0.001081053,1.443449E-05,0.00297423,0.0002548293,0.006915197,0.0002223769,0.01382735,0.001540046,0.00749297,0.005018854,0.003823797,0.001852753,0,0.000874198,1.006853E-05,0.0001405909,8.153209E-05,0.0001998231,0.001912296,0,0.001577229,1.668998E-09,0.0002051047,2.27566E-05,0.0004928331,0.001742758,0.0001639433,0.0001883784,0.003905842,0.01067736,0.0008324353,0.00291106,0.006105272,0.01863653,0.0006015399,0.002471864,0.0004662891,0.006885778,0.01749632,0.002742569,0.01834905,0.0002649106,0.007360145,0.01042177,0.0001262364,0.0004505806,0.0006801494,4.465499E-05,0.01402236,0.01500193,0.006308041,0.0005131028,3.76623E-07,0.01978252,0.003787729,0.0005107581,0.01277307,0.1212614,0.07251946,0.0959894,0.02856506,0.03092722,0.002468511
161,0.0005831409,0.0005103945,0.0002101257,0.00108168,1.443367E-05,0.00296957,0.0002547787,0.006931629,0.0002264368,0.01396898,0.001553462,0.007523387,0.00515668,0.003782466,0.001855882,0,0.001050108,9.495683E-06,0.0001475236,8.165333E-05,0.0002003164,0.001887123,0,0.001567601,1.653141E-09,0.0002043589,2.345736E-05,0.0004912996,0.001727496,0.0001758478,0.0001971459,0.003897615,0.01051102,0.0008230181,0.002860746,0.006267765,0.01911456,0.0006082665,0.002476044,0.0004581245,0.0070288,0.01772261,0.00281416,0.01866277,0.0002641035,0.007324749,0.01038347,0.0001232148,0.0004504588,0.0007093409,4.074703E-05,0.0157004,0.01385316,0.006619643,0.0006117051,4.029101E-07,0.0203043,0.003819402,0.0005010659,0.01209393,0.1188338,0.07301802,0.09476727,0.02905777,0.03063312,0.00245873
