"group.names","num"
"striped_bass_0",1
"striped_bass_2-5",2
"striped_bass_6+",3
"menhaden_juv",4
"menhaden_adult",5
"spiny_dogfish",6
"bluefish_juv",7
"bluefish_adult",8
"weakfish_juv",9
"weakfish_adult",10
"Atlantic_herring_0-1",11
"Atlantic_herring_2+",12
"anchovies",13
"benthic_inverts",14
"zooplankton",15
"phytoplankton",16
"Detritus",17
